               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 117,            0.025449,            0.010769,            0.016365,             0.51605,             0.78469,             0.69354,             0.52938,            0.023096,           0.0039164,            0.015349,             0.00304,             0.00304,             0.00304
                 118,            0.025497,            0.010724,            0.016663,             0.55734,             0.79296,             0.71835,             0.54399,             0.02362,            0.003955,            0.016708,             0.00298,             0.00298,             0.00298
                 119,            0.024423,           0.0098974,            0.016414,             0.59198,             0.74574,             0.72132,             0.55794,            0.023987,           0.0040895,            0.017429,             0.00292,             0.00292,             0.00292
                 120,            0.025489,            0.010428,            0.016809,             0.55797,             0.75868,             0.70441,             0.53719,            0.023498,           0.0039646,            0.018797,             0.00286,             0.00286,             0.00286
                 121,            0.023949,             0.01018,            0.015081,             0.61652,             0.73673,             0.71833,             0.54956,            0.023467,           0.0039828,            0.018059,              0.0028,              0.0028,              0.0028
                 122,             0.02488,            0.010337,            0.015871,             0.56331,             0.73482,             0.72642,             0.54367,            0.024364,           0.0038247,            0.017323,             0.00274,             0.00274,             0.00274
                 123,            0.024773,            0.010311,            0.015531,             0.58455,             0.72849,              0.7457,             0.56367,            0.023905,           0.0038673,            0.018248,             0.00268,             0.00268,             0.00268
                 124,            0.023946,           0.0099425,            0.015546,             0.54843,             0.75736,             0.72536,             0.54727,            0.023801,           0.0039357,            0.017715,             0.00262,             0.00262,             0.00262
                 125,            0.023369,            0.010765,            0.015229,             0.59201,             0.77561,             0.74428,             0.56057,            0.023029,           0.0038813,            0.017332,             0.00256,             0.00256,             0.00256
                 126,            0.025349,            0.010633,            0.015124,              0.6267,             0.70593,             0.75244,             0.57612,            0.023949,           0.0039804,            0.017418,              0.0025,              0.0025,              0.0025
                 127,            0.024048,            0.010326,            0.015063,             0.56379,             0.75934,             0.73227,             0.55394,            0.022991,           0.0039636,            0.018393,             0.00244,             0.00244,             0.00244
                 128,            0.024421,            0.010673,            0.015153,             0.57387,             0.70293,             0.73577,             0.55413,            0.023614,           0.0039321,            0.018952,             0.00238,             0.00238,             0.00238
                 129,            0.024398,            0.010763,             0.01517,             0.65592,             0.68636,             0.73959,             0.56749,            0.022901,           0.0040556,            0.016995,             0.00232,             0.00232,             0.00232
                 130,            0.025001,            0.010189,            0.014863,             0.63802,             0.72006,             0.73552,             0.56785,            0.023256,           0.0039734,            0.017557,             0.00226,             0.00226,             0.00226
                 131,            0.023069,           0.0097056,            0.014078,              0.6171,             0.70888,             0.73077,             0.55728,            0.023845,           0.0040088,            0.016536,              0.0022,              0.0022,              0.0022
                 132,            0.023753,           0.0098869,            0.015595,             0.56148,             0.74947,              0.7278,             0.55066,            0.023114,           0.0040955,            0.017151,             0.00214,             0.00214,             0.00214
                 133,            0.022893,           0.0096213,            0.014859,             0.62825,             0.71967,             0.76274,             0.58337,             0.02348,           0.0039121,            0.017501,             0.00208,             0.00208,             0.00208
                 134,            0.023322,            0.010461,            0.015187,             0.66853,             0.77856,             0.77588,             0.59478,            0.023324,           0.0038912,             0.01641,             0.00202,             0.00202,             0.00202
                 135,            0.024233,            0.010049,            0.015698,              0.6561,             0.75038,             0.76999,             0.59478,            0.024109,           0.0038229,            0.017407,             0.00196,             0.00196,             0.00196
                 136,            0.023161,           0.0097471,            0.014411,             0.68031,             0.69909,             0.75336,             0.57893,            0.023103,           0.0037799,            0.020863,              0.0019,              0.0019,              0.0019
                 137,            0.023627,           0.0098135,            0.014286,             0.70021,             0.69504,             0.76455,             0.58489,            0.023197,           0.0037248,            0.020797,             0.00184,             0.00184,             0.00184
                 138,            0.022778,           0.0097474,            0.013846,             0.68993,             0.70238,             0.76972,             0.59154,            0.022938,           0.0037842,            0.019693,             0.00178,             0.00178,             0.00178
